Question,Actual Answer,Generated Answer,ROUGE-L F1 Score,Semantic Similarity,Keyword-Based Score,Generation Time (seconds)
Were Scott Derrickson and Ed Wood of the same nationality?,yes,"No, Scott Derrickson and Ed Wood were not of the same nationality. Scott Derrickson is American, while Ed Wood was British.",0.0,0.13836197555065155,0.0,2.3003342151641846
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,"Shirley Temple Black, who portrayed Corliss Archer in the film ""Kiss and Tell,"" held the position of U.S. Ambassador to Ghana and Czechoslovakia.",0.07999999788800007,0.20032566785812378,0.3333333333333333,1.8399014472961426
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,"The ""Lunar Chronicles"" by Marissa Meyer.",0.0,0.10347930341959,0.0,2.326681137084961
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,"No, they are not. The Laleli Mosque is located in the Laleli neighborhood of Istanbul, while the Esma Sultan Mansion is situated in the Ortaköy neighborhood.",0.0,0.10337421298027039,1.0,2.6093947887420654
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","The director of ""Big Stone Gap,"" Adriana Trigiani, is based in New York City.",0.3157894698060942,0.2759183645248413,0.6,1.4058685302734375
2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,"2014 S/S is the debut album of a South Korean boy group called BTS, which was formed by Big Hit Entertainment.",0.08695652015122875,0.31341975927352905,0.5,2.0106916427612305
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,The person known by the stage name Aladin who also worked as a consultant to help organizations improve their performance is Alain Thys.,0.0,0.09476574510335922,0.0,2.4242372512817383
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","The arena where the Lewiston Maineiacs played their home games, the Androscoggin Bank Colisee, can seat approximately 4,000 people.",0.0,0.15106233954429626,0.0,2.0669918060302734
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,"I don't have real-time or personal data, so I can't determine who is older between Annie Morton and Terry Richardson.",0.1904761887528345,0.4388808012008667,1.0,1.9685072898864746
Are Local H and For Against both from the United States?,yes,"No, Local H is from the United States, but For Against is from the United Kingdom.",0.0,0.19768844544887543,0.0,1.4242279529571533
